date,division,index
2000/1/1,overall,80.3
2000/2/1,overall,80.4
2000/3/1,overall,80.3
2000/4/1,overall,80.3
2000/5/1,overall,80.4
2000/6/1,overall,80.4
2000/7/1,overall,80.5
2000/8/1,overall,80.5
2000/9/1,overall,80.5
2000/10/1,overall,80.8
2000/11/1,overall,80.9
2000/12/1,overall,81.3
2001/1/1,overall,81.5
2001/2/1,overall,81.7
2001/3/1,overall,81.5
2001/4/1,overall,81.6
2001/5/1,overall,81.7
2001/6/1,overall,81.6
2001/7/1,overall,81.6
2001/8/1,overall,81.5
2001/9/1,overall,81.6
2001/10/1,overall,81.5
2001/11/1,overall,82.2
2001/12/1,overall,82.2
2002/1/1,overall,82.4
2002/2/1,overall,82.6
2002/3/1,overall,83.2
2002/4/1,overall,83.1
2002/5/1,overall,83.2
2002/6/1,overall,83.3
2002/7/1,overall,83.3
2002/8/1,overall,83.2
2002/9/1,overall,83.3
2002/10/1,overall,83.2
2002/11/1,overall,83.4
2002/12/1,overall,83.6
2003/1/1,overall,83.8
2003/2/1,overall,83.9
2003/3/1,overall,83.8
2003/4/1,overall,83.9
2003/5/1,overall,84
2003/6/1,overall,83.9
2003/7/1,overall,84.1
2003/8/1,overall,84
2003/9/1,overall,84.2
2003/10/1,overall,84.2
2003/11/1,overall,84.3
2003/12/1,overall,84.6
2004/1/1,overall,84.6
2004/2/1,overall,84.6
2004/3/1,overall,84.6
2004/4/1,overall,84.7
2004/5/1,overall,85
2004/6/1,overall,85
2004/7/1,overall,85.2
2004/8/1,overall,85.2
2004/9/1,overall,85.5
2004/10/1,overall,86
2004/11/1,overall,86.2
2004/12/1,overall,86.3
2005/1/1,overall,86.6
2005/2/1,overall,86.7
2005/3/1,overall,86.7
2005/4/1,overall,86.8
2005/5/1,overall,87.5
2005/6/1,overall,87.7
2005/7/1,overall,87.7
2005/8/1,overall,88.3
2005/9/1,overall,88.5
2005/10/1,overall,88.7
2005/11/1,overall,89
2005/12/1,overall,89.1
2006/1/1,overall,89.4
2006/2/1,overall,89.5
2006/3/1,overall,90.8
2006/4/1,overall,90.8
2006/5/1,overall,91
2006/6/1,overall,91.1
2006/7/1,overall,91.3
2006/8/1,overall,91.2
2006/9/1,overall,91.4
2006/10/1,overall,91.4
2006/11/1,overall,91.7
2006/12/1,overall,91.8
2007/1/1,overall,92.3
2007/2/1,overall,92.3
2007/3/1,overall,92.2
2007/4/1,overall,92.2
2007/5/1,overall,92.3
