series,date,section,index,index_sa
abs,2015/1/1,C,99.035,101.531
abs,2015/2/1,C,89.005,98.467
abs,2015/3/1,C,99.182,97.58
abs,2015/4/1,C,97.007,98.436
abs,2015/5/1,C,99.451,99.84
abs,2015/6/1,C,102.565,100.121
abs,2015/7/1,C,100.57,101.025
abs,2015/8/1,C,100.389,100.509
abs,2015/9/1,C,103.401,101.205
abs,2015/10/1,C,106.315,101.624
abs,2015/11/1,C,100.026,102.288
abs,2015/12/1,C,103.055,99.671
abs,2016/1/1,C,103.205,102
abs,2016/2/1,C,92.881,101.8
abs,2016/3/1,C,103.694,103.3
abs,2016/4/1,C,99.452,102.6
abs,2016/5/1,C,103.14,103.3
abs,2016/6/1,C,107.149,105.7
abs,2016/7/1,C,104.268,103.5
abs,2016/8/1,C,105.158,104.6
abs,2016/9/1,C,107.38,105.4
abs,2016/10/1,C,110.768,106.3
abs,2016/11/1,C,107.023,106.3
abs,2016/12/1,C,107.883,106.9
abs,2017/1/1,C,108.256,106.889
abs,2017/2/1,C,99.734,109.476
abs,2017/3/1,C,109.504,109.33
abs,2017/4/1,C,105.908,109.156
abs,2017/5/1,C,110.563,110.755
abs,2017/6/1,C,111.822,110.586
abs,2017/7/1,C,113.104,110.97
abs,2017/8/1,C,112.955,112.248
abs,2017/9/1,C,113.67,111.745
abs,2017/10/1,C,115.471,111.344
abs,2017/11/1,C,113.871,113.316
abs,2017/12/1,C,113.72,112.727
abs,2018/1/1,C,115.72,113.184
abs,2018/2/1,C,104.429,114.656
abs,2018/3/1,C,114.009,114.552
abs,2018/4/1,C,111.562,116.453
abs,2018/5/1,C,115.14,116.246
abs,2018/6/1,C,116.875,116.288
abs,2018/7/1,C,118.999,117.191
abs,2018/8/1,C,117.79,116.225
abs,2018/9/1,C,119.123,116.466
abs,2018/10/1,C,121.674,117.059
abs,2018/11/1,C,118.075,116.842
abs,2018/12/1,C,118.676,116.398
abs,2019/1/1,C,120.55,117.391
abs,2019/2/1,C,108.308,118.188
abs,2019/3/1,C,118.705,118.947
abs,2019/4/1,C,116.372,121.844
abs,2019/5/1,C,119.926,122.95
abs,2019/6/1,C,121.354,121.398
abs,2019/7/1,C,123.776,122.708
abs,2019/8/1,C,121.981,120.193
abs,2019/9/1,C,122.083,118.829
abs,2019/10/1,C,124.509,119.429
abs,2019/11/1,C,121.262,119.502
abs,2019/12/1,C,122.716,119.913
abs,2020/1/1,C,123.15,119.703
abs,2020/2/1,C,115.001,124.399
abs,2020/3/1,C,113.805,113.616
abs,2020/4/1,C,73.11,76.653
abs,2020/5/1,C,92.795,96.666
abs,2020/6/1,C,127.097,126.542
abs,2020/7/1,C,127.397,128.817
abs,2020/8/1,C,124.684,122.929
abs,2020/9/1,C,127.298,123.503
abs,2020/10/1,C,127.442,122.249
abs,2020/11/1,C,123.727,120.814
abs,2020/12/1,C,127.771,123.808
abs,2021/1/1,C,127.512,124.568
abs,2021/2/1,C,120.126,128.864
abs,2021/3/1,C,128.285,127.401
abs,2021/4/1,C,122.83,130.205
abs,2021/5/1,C,120.425,126.373
abs,2021/6/1,C,126.881,125.705
abs,2021/7/1,C,119.112,121.724
abs,2021/8/1,C,125.42,123.182
abs,2021/9/1,C,132.329,127.555
abs,2021/10/1,C,137.62,132.118
abs,2021/11/1,C,137.72,133.822
abs,2021/12/1,C,138.457,134.374
abs,2022/1/1,C,136.142,133.573
abs,2022/2/1,C,126.386,134.787
abs,2022/3/1,C,137.172,135.704
abs,2022/4/1,C,130.431,139.003
abs,2022/5/1,C,128.772,135.756
abs,2022/6/1,C,145.197,143.371
abs,2022/7/1,C,136.878,141.045
abs,2022/8/1,C,144.496,141.947
abs,2022/9/1,C,146.11,140.417
abs,2022/10/1,C,143.414,137.706
abs,2022/11/1,C,144.382,139.704
abs,2022/12/1,C,142.636,138.417
abs,2023/1/1,C,137.94,135.725
abs,2023/2/1,C,132.436,140.724
abs,2023/3/1,C,142.774,141.033
abs,2023/4/1,C,126.484,135.023
abs,2023/5/1,C,135.359,143.071
abs,2023/6/1,C,142.823,140.659
abs,2023/7/1,C,136.619,141.399
abs,2023/8/1,C,143.611,141.178
abs,2023/9/1,C,146.664,140.791
abs,2023/10/1,C,144.746,138.923
abs,2023/11/1,C,144.304,139.235
abs,2023/12/1,C,140.598,136.569
abs,2024/1/1,C,143.064,142.089
abs,2024/2/1,C,134.084,142.138
abs,2024/3/1,C,144.632,142.873
abs,2024/4/1,C,132.718,142.747
abs,2024/5/1,C,141.588,148.36
abs,2024/6/1,C,150.207,146.734
abs,2024/7/1,C,147.191,150.624
abs,2024/8/1,C,153.006,149.3
abs,2024/9/1,C,151.303,145.593
abs,2024/10/1,C,149.475,144.84
abs,2024/11/1,C,150.995,145.804
abs,2024/12/1,C,148.7,145.874
abs,2025/1/1,C,148.41,147.641
abs,2025/2/1,C,140.454,151.079
