series,date,division,desc_en,index
abs,2015/1/1,10,Manufacture of food products,89.547
abs,2015/2/1,10,Manufacture of food products,79.713
abs,2015/3/1,10,Manufacture of food products,92.052
abs,2015/4/1,10,Manufacture of food products,102.346
abs,2015/5/1,10,Manufacture of food products,102.766
abs,2015/6/1,10,Manufacture of food products,105.411
abs,2015/7/1,10,Manufacture of food products,98.55
abs,2015/8/1,10,Manufacture of food products,112.413
abs,2015/9/1,10,Manufacture of food products,108.204
abs,2015/10/1,10,Manufacture of food products,109.949
abs,2015/11/1,10,Manufacture of food products,101.944
abs,2015/12/1,10,Manufacture of food products,97.104
abs,2016/1/1,10,Manufacture of food products,91.413
abs,2016/2/1,10,Manufacture of food products,83.92
abs,2016/3/1,10,Manufacture of food products,101.026
abs,2016/4/1,10,Manufacture of food products,93.772
abs,2016/5/1,10,Manufacture of food products,96.781
abs,2016/6/1,10,Manufacture of food products,95.904
abs,2016/7/1,10,Manufacture of food products,102.399
abs,2016/8/1,10,Manufacture of food products,109.974
abs,2016/9/1,10,Manufacture of food products,106.334
abs,2016/10/1,10,Manufacture of food products,113.357
abs,2016/11/1,10,Manufacture of food products,114.529
abs,2016/12/1,10,Manufacture of food products,106.948
abs,2017/1/1,10,Manufacture of food products,99.374
abs,2017/2/1,10,Manufacture of food products,97.742
abs,2017/3/1,10,Manufacture of food products,104.141
abs,2017/4/1,10,Manufacture of food products,109.607
abs,2017/5/1,10,Manufacture of food products,109.698
abs,2017/6/1,10,Manufacture of food products,102.874
abs,2017/7/1,10,Manufacture of food products,125.934
abs,2017/8/1,10,Manufacture of food products,120.771
abs,2017/9/1,10,Manufacture of food products,116.552
abs,2017/10/1,10,Manufacture of food products,121.24
abs,2017/11/1,10,Manufacture of food products,122.754
abs,2017/12/1,10,Manufacture of food products,126.648
abs,2018/1/1,10,Manufacture of food products,117.897
abs,2018/2/1,10,Manufacture of food products,99.98
abs,2018/3/1,10,Manufacture of food products,111.358
abs,2018/4/1,10,Manufacture of food products,114.591
abs,2018/5/1,10,Manufacture of food products,113.415
abs,2018/6/1,10,Manufacture of food products,106.508
abs,2018/7/1,10,Manufacture of food products,121.23
abs,2018/8/1,10,Manufacture of food products,123.162
abs,2018/9/1,10,Manufacture of food products,125.138
abs,2018/10/1,10,Manufacture of food products,124.38
abs,2018/11/1,10,Manufacture of food products,120.335
abs,2018/12/1,10,Manufacture of food products,124.424
abs,2019/1/1,10,Manufacture of food products,120.734
abs,2019/2/1,10,Manufacture of food products,106.613
abs,2019/3/1,10,Manufacture of food products,119.168
abs,2019/4/1,10,Manufacture of food products,119.294
abs,2019/5/1,10,Manufacture of food products,118.547
abs,2019/6/1,10,Manufacture of food products,110.624
abs,2019/7/1,10,Manufacture of food products,121.7
abs,2019/8/1,10,Manufacture of food products,125.517
abs,2019/9/1,10,Manufacture of food products,126.884
abs,2019/10/1,10,Manufacture of food products,125.315
abs,2019/11/1,10,Manufacture of food products,122.566
abs,2019/12/1,10,Manufacture of food products,124.266
abs,2020/1/1,10,Manufacture of food products,113.053
abs,2020/2/1,10,Manufacture of food products,111.261
abs,2020/3/1,10,Manufacture of food products,107.467
abs,2020/4/1,10,Manufacture of food products,119.754
abs,2020/5/1,10,Manufacture of food products,126.398
abs,2020/6/1,10,Manufacture of food products,130.096
abs,2020/7/1,10,Manufacture of food products,131.721
