series_type,date,ron95,ron97,diesel,diesel_eastmsia
level,2017/3/30,2.13,2.41,2.11,2.11
level,2017/4/6,2.16,2.43,2.08,2.08
level,2017/4/13,2.24,2.52,2.16,2.16
level,2017/4/20,2.27,2.54,2.21,2.21
level,2017/4/27,2.21,2.49,2.14,2.14
level,2017/5/4,2.11,2.39,2.08,2.08
level,2017/5/11,2.01,2.29,1.95,1.95
level,2017/5/18,2.08,2.36,1.99,1.99
level,2017/5/25,2.12,2.4,2.03,2.03
level,2017/6/1,2.1,2.38,2.02,2.02
level,2017/6/8,2.05,2.31,1.94,1.94
level,2017/6/15,1.98,2.24,1.88,1.88
level,2017/6/22,1.91,2.17,1.88,1.88
level,2017/6/29,1.89,2.15,1.84,1.84
level,2017/7/6,1.93,2.19,1.91,1.91
level,2017/7/13,1.97,2.22,1.96,1.96
level,2017/7/20,1.97,2.22,1.96,1.96
level,2017/7/27,2.03,2.28,1.99,1.99
level,2017/8/3,2.07,2.32,2.05,2.05
level,2017/8/10,2.12,2.39,2.06,2.06
level,2017/8/17,2.15,2.43,2.04,2.04
level,2017/8/24,2.15,2.43,2.01,2.01
level,2017/8/31,2.16,2.44,2.04,2.04
level,2017/9/7,2.2,2.48,2.05,2.05
level,2017/9/14,2.21,2.52,2.14,2.14
level,2017/9/21,2.19,2.49,2.1,2.1
level,2017/9/28,2.16,2.46,2.12,2.12
level,2017/10/5,2.19,2.49,2.17,2.17
level,2017/10/12,2.16,2.46,2.1,2.1
level,2017/10/19,2.17,2.47,2.11,2.11
level,2017/10/26,2.2,2.5,2.13,2.13
level,2017/11/2,2.24,2.54,2.17,2.17
level,2017/11/9,2.31,2.6,2.2,2.2
level,2017/11/16,2.38,2.66,2.25,2.25
level,2017/11/23,2.3,2.58,2.23,2.23
level,2017/11/30,2.3,2.58,2.25,2.25
level,2017/12/7,2.29,2.57,2.21,2.21
level,2017/12/14,2.25,2.52,2.2,2.2
level,2017/12/21,2.27,2.54,2.23,2.23
level,2017/12/28,2.26,2.53,2.26,2.26
level,2018/1/4,2.29,2.56,2.32,2.32
level,2018/1/11,2.26,2.53,2.32,2.32
level,2018/1/18,2.3,2.57,2.32,2.32
level,2018/1/25,2.29,2.56,2.31,2.31
level,2018/2/1,2.31,2.58,2.34,2.34
level,2018/2/8,2.33,2.61,2.31,2.31
level,2018/2/15,2.23,2.5,2.19,2.19
level,2018/2/22,2.17,2.43,2.13,2.13
level,2018/3/1,2.2,2.47,2.18,2.18
level,2018/3/8,2.21,2.47,2.17,2.17
level,2018/3/15,2.18,2.45,2.16,2.16
